,youtuber,vedio_id,link,vedio_title,description,post_time,views
25, Morgan Stock Talk 美国股市谈 ,IoqFGO4piOU,https://www.youtube.com/watch?v=IoqFGO4piOU,【20007】个股难炒，如何做美国股市的SPY、QQQ、TQQQ等大盘ETF股获得更好的利润?(2),"【20007】个股难炒，如何做美国股市的SPY、QQQ、TQQQ等大盘ETF股获得更好的利润?(2) by Morgan Stock Talk 美国股市谈 5 months ago 12 minutes, 50 seconds 1,649 views",5 months,"1,649"
26, 美股追踪-Ray ,eXwVd9gjavQ,https://www.youtube.com/watch?v=eXwVd9gjavQ,"第29期,美股个股分析（cup and handle, reverse head and shoulder pattern）, (AMD, NVDA, NFLX, TTD, PAYC, TSLA)","第29期,美股个股分析（cup and handle, reverse head and shoulder pattern）, (AMD, NVDA, NFLX, TTD, PAYC, TSLA) by 美股追踪-Ray 1 month ago 12 minutes, 48 seconds 1,640 views",1 month,"1,640"
27, 北美程大爷 ,6hQKFzuzjdk,https://www.youtube.com/watch?v=6hQKFzuzjdk,2019914 解析美股大盘，黄金，个股操作分析，下周展望,"2019914 解析美股大盘，黄金，个股操作分析，下周展望 by 北美程大爷 9 months ago 31 minutes 1,283 views",9 months,"1,283"
28, Gary‘s trading talk ,upW3EgXoB2s,https://www.youtube.com/watch?v=upW3EgXoB2s,0214美股一周大盘个股回顾下周展望-道琼斯挑战三万点？,"0214美股一周大盘个股回顾下周展望-道琼斯挑战三万点？ by Gary‘s trading talk 4 months ago 25 minutes 1,048 views",4 months,"1,048"
29, 北美程大爷 ,4EMuUIM8j3U,https://www.youtube.com/watch?v=4EMuUIM8j3U,2019-10-05 每周的更新，分析大盘走势，个股，上周操作的得失,2019-10-05 每周的更新，分析大盘走势，个股，上周操作的得失 by 北美程大爷 9 months ago 22 minutes 953 views,9 months,953
30, 泽熙长信 ,gGo1-aFYymA,https://www.youtube.com/watch?v=gGo1-aFYymA,游资思维笔记之运用双龙战法稳抓龙头个股,"游资思维笔记之运用双龙战法稳抓龙头个股 by 泽熙长信 9 months ago 4 minutes, 39 seconds 923 views",9 months,923
31, 北美程大爷 ,vnJ8g5coBvQ,https://www.youtube.com/watch?v=vnJ8g5coBvQ,2019-10-19 每周市场回顾，个股分析，操作分享与展望：重量级干货,2019-10-19 每周市场回顾，个股分析，操作分享与展望：重量级干货 by 北美程大爷 8 months ago 26 minutes 917 views,8 months,917
32, Gary‘s trading talk ,DzD973xFBdE,https://www.youtube.com/watch?v=DzD973xFBdE,0208本周美股大盘及个股分析-YTD收益率50%/401K收益本周大爆发,0208本周美股大盘及个股分析-YTD收益率50%/401K收益本周大爆发 by Gary‘s trading talk 4 months ago 25 minutes 833 views,4 months,833
33, 天亮技术分析 ,TbYaEdM2NgM,https://www.youtube.com/watch?v=TbYaEdM2NgM,美股分析目前轻指数重个股对吗?3分钟设置合理的盈亏比!,美股分析目前轻指数重个股对吗?3分钟设置合理的盈亏比! by 天亮技术分析 1 month ago 28 minutes 811 views,1 month,811
34, Gary‘s trading talk ,yOtLGevpCOg,https://www.youtube.com/watch?v=yOtLGevpCOg,0124美股一周大盘与个股分析BYND/TSLA/SOXL/AMD以及我的操作-YTD收益为27%,0124美股一周大盘与个股分析BYND/TSLA/SOXL/AMD以及我的操作-YTD收益为27% by Gary‘s trading talk 5 months ago 16 minutes 797 views,5 months,797
35, Gary‘s trading talk ,ZgtKpFsZhoE,https://www.youtube.com/watch?v=ZgtKpFsZhoE,0221美股一周大盘个股回顾下周展望-correction started?,0221美股一周大盘个股回顾下周展望-correction started? by Gary‘s trading talk 4 months ago 24 minutes 756 views,4 months,756
36, 宋建毅 说K线-区块链 ,qyPghdBHp8c,https://www.youtube.com/watch?v=qyPghdBHp8c,涨停板| 好股推荐| 如何在牛市启动前布局板块个股，选择牛股，选择牛市的板块，关机待涨是最好的投资策略，股市牛市的投资机会到来前，一定要想好投资策略！,"涨停板| 好股推荐| 如何在牛市启动前布局板块个股，选择牛股，选择牛市的板块，关机待涨是最好的投资策略，股市牛市的投资机会到来前，一定要想好投资策略！ by 宋建毅 说K线-区块链 6 months ago 14 minutes, 43 seconds 723 views",6 months,723
37, 小小只 ,z7c_roGl1Ls,https://www.youtube.com/watch?v=z7c_roGl1Ls,威科夫交易法 （8）涨跌停及个股分析,"威科夫交易法 （8）涨跌停及个股分析 by 小小只 7 months ago 1 hour, 12 minutes 722 views",7 months,722
38, Gary‘s trading talk ,xHmB1XCuHu4,https://www.youtube.com/watch?v=xHmB1XCuHu4,0201一周美股大盘个股分析及下周展望TSLA/FB/AAPL/AMZN/AMD-YTD收益34.5%,0201一周美股大盘个股分析及下周展望TSLA/FB/AAPL/AMZN/AMD-YTD收益34.5% by Gary‘s trading talk 5 months ago 30 minutes 682 views,5 months,682
39, 北美程大爷 Streamed ,YL9SBl66UDQ,https://www.youtube.com/watch?v=YL9SBl66UDQ,Weekly Review 0928 聊聊大盘走势，自己的个股操作，主要讲讲做的不好的部分，回答朋友的提问,Weekly Review 0928 聊聊大盘走势，自己的个股操作，主要讲讲做的不好的部分，回答朋友的提问 by 北美程大爷 Streamed 9 months ago 42 minutes 563 views,9 months,563
40, 宝哥炒股技术派 ,mnszpxSK3gM,https://www.youtube.com/watch?v=mnszpxSK3gM,股票|股市|美股指数冲高回落，个股非常火爆，敢买就赚！明天暴涨股会出自哪个行业板块？指数徘徊不定，欲与何为？--06232020,股票|股市|美股指数冲高回落，个股非常火爆，敢买就赚！明天暴涨股会出自哪个行业板块？指数徘徊不定，欲与何为？--06232020 by 宝哥炒股技术派 1 week ago 16 minutes 554 views,1 week,554
41, 美股追踪-Ray ,ox6qUlG273c,https://www.youtube.com/watch?v=ox6qUlG273c,第18期， 美股走势追踪（个股： TSLA， AMZN， MSFT， AAPL， NVDA）,"第18期， 美股走势追踪（个股： TSLA， AMZN， MSFT， AAPL， NVDA） by 美股追踪-Ray 2 months ago 11 minutes, 19 seconds 444 views",2 months,444
42, 热点新闻 [更新中国美国情况] ,1NzmC97OSwA,https://www.youtube.com/watch?v=1NzmC97OSwA,5G 正式进入商用阶段 5G 网络建设利好龙头个股,"5G 正式进入商用阶段 5G 网络建设利好龙头个股 by 热点新闻 [更新中国美国情况] 8 months ago 13 minutes, 27 seconds 426 views",8 months,426
43, Gary‘s trading talk ,R-N-He07l6k,https://www.youtube.com/watch?v=R-N-He07l6k,0212美股大盘及个股分析-拐点已近？,"0212美股大盘及个股分析-拐点已近？ by Gary‘s trading talk 4 months ago 8 minutes, 12 seconds 416 views",4 months,416
44, 眯眯眼看世界 ,eTUvSZjtWNI,https://www.youtube.com/watch?v=eTUvSZjtWNI,基础课程第二章个股盘口，第一节认知个股盘口 | 徐小明股票系统课,基础课程第二章个股盘口，第一节认知个股盘口 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 21 minutes 408 views,4 months,408
45, 宝哥炒股技术派 ,dwdoePU3mxk,https://www.youtube.com/watch?v=dwdoePU3mxk,美股指数沉闷震荡，忽略指数重个股，赚钱亏指数的理想状态！股市分析|美股分析|美股行情|股市行情|标普500|道指|纳指|股票入门|炒股入门|股票教学|炒股教学| -- 宝哥炒股技术派06182020,美股指数沉闷震荡，忽略指数重个股，赚钱亏指数的理想状态！股市分析|美股分析|美股行情|股市行情|标普500|道指|纳指|股票入门|炒股入门|股票教学|炒股教学| -- 宝哥炒股技术派06182020 by 宝哥炒股技术派 2 weeks ago 27 minutes 395 views,2 weeks,395
46, Gary‘s trading talk ,XcTl0Fv6Plk,https://www.youtube.com/watch?v=XcTl0Fv6Plk,大盘及个股分析BYND/AMD/TSLA/SOXL-0115,大盘及个股分析BYND/AMD/TSLA/SOXL-0115 by Gary‘s trading talk 5 months ago 17 minutes 395 views,5 months,395
47, 眯眯眼看世界 ,wh_hd9xiuuw,https://www.youtube.com/watch?v=wh_hd9xiuuw,中级课程第三章思维模式，第九节个股主升浪实战 | 徐小明股票系统课,"中级课程第三章思维模式，第九节个股主升浪实战 | 徐小明股票系统课 by 眯眯眼看世界 2 months ago 1 hour, 6 minutes 390 views",2 months,390
48, HomilyChart Malaysia ,h8zc7ImW3MY,https://www.youtube.com/watch?v=h8zc7ImW3MY,指数横盘，个股狂欢【MG实战诊股03】,"指数横盘，个股狂欢【MG实战诊股03】 by HomilyChart Malaysia 4 months ago 9 minutes, 1 second 390 views",4 months,390
49, Jason Lee 美股技术分析 ,zspSjO5YZEA,https://www.youtube.com/watch?v=zspSjO5YZEA,美股走势分析｜2020/3/9大盘走势分析以及个股推荐,"美股走势分析｜2020/3/9大盘走势分析以及个股推荐 by Jason Lee 美股技术分析 3 months ago 13 minutes, 25 seconds 382 views",3 months,382
50, 美股追踪-Ray ,37B2tlyr4ak,https://www.youtube.com/watch?v=37B2tlyr4ak,第19期，美股走势追踪，大盘， 个股,"第19期，美股走势追踪，大盘， 个股 by 美股追踪-Ray 2 months ago 11 minutes, 3 seconds 369 views",2 months,369
51, 韩仙森 ,-PNI0Fzv6lY,https://www.youtube.com/watch?v=-PNI0Fzv6lY,反弹或接近尾声，个股还有机会 | 2020.02.16 | Wk.7 上证指数走势分析,反弹或接近尾声，个股还有机会 | 2020.02.16 | Wk.7 上证指数走势分析 by 韩仙森 4 months ago 16 minutes 356 views,4 months,356
52, 眯眯眼看世界 ,BB0KYGkWyVE,https://www.youtube.com/watch?v=BB0KYGkWyVE,基础课程第二章个股盘口，第七节龙头股的盘口 | 徐小明股票系统课,基础课程第二章个股盘口，第七节龙头股的盘口 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 23 minutes 337 views,4 months,337
53, AI Financial Power Group ,T-kQiP04QwQ,https://www.youtube.com/watch?v=T-kQiP04QwQ,Jacky老师美股个股FB CHK BAC DAL分析20200427,"Jacky老师美股个股FB CHK BAC DAL分析20200427 by AI Financial Power Group 2 months ago 10 minutes, 16 seconds 330 views",2 months,330
54, Jason Lee 美股技术分析 ,lTnwuxq9rM8,https://www.youtube.com/watch?v=lTnwuxq9rM8,美股2020/3/16 走势预测以及个股推荐,"美股2020/3/16 走势预测以及个股推荐 by Jason Lee 美股技术分析 3 months ago 7 minutes, 16 seconds 329 views",3 months,329
55, Gary‘s trading talk ,glsNtcz2n_A,https://www.youtube.com/watch?v=glsNtcz2n_A,0225大盘及个股分析-接下来几天股市走势的推演,"0225大盘及个股分析-接下来几天股市走势的推演 by Gary‘s trading talk 4 months ago 8 minutes, 12 seconds 326 views",4 months,326
56, Gary‘s trading talk ,NFJKw1HRLmQ,https://www.youtube.com/watch?v=NFJKw1HRLmQ,0220大盘及个股分析-头部形态明显,"0220大盘及个股分析-头部形态明显 by Gary‘s trading talk 4 months ago 9 minutes, 58 seconds 324 views",4 months,324
57, 眯眯眼看世界 ,TlrYUD2D8ps,https://www.youtube.com/watch?v=TlrYUD2D8ps,基础课程第二章个股盘口，第二节委买与委卖 | 徐小明股票系统课,基础课程第二章个股盘口，第二节委买与委卖 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 30 minutes 320 views,4 months,320
58, 眯眯眼看世界 ,dwjVFJ7s5xY,https://www.youtube.com/watch?v=dwjVFJ7s5xY,高级课程第一章交易规则，第五节个股的止盈止损 | 徐小明股票系统课,高级课程第一章交易规则，第五节个股的止盈止损 | 徐小明股票系统课 by 眯眯眼看世界 2 months ago 27 minutes 312 views,2 months,312
59, 眯眯眼看世界 ,zxriG6wHlPQ,https://www.youtube.com/watch?v=zxriG6wHlPQ,基础课程第二章个股盘口，第六节强弱、速度、气势 | 徐小明股票系统课,基础课程第二章个股盘口，第六节强弱、速度、气势 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 17 minutes 312 views,4 months,312
60, Gary‘s trading talk ,IyKnLCfiSoc,https://www.youtube.com/watch?v=IyKnLCfiSoc,0128-大盘及个股分析BYND/AMD/SOXL,"0128-大盘及个股分析BYND/AMD/SOXL by Gary‘s trading talk 5 months ago 6 minutes, 49 seconds 310 views",5 months,310
61, 眯眯眼看世界 ,_lWqYy8iNV8,https://www.youtube.com/watch?v=_lWqYy8iNV8,基础课程第二章个股盘口，第三节量比 | 徐小明股票系统课,基础课程第二章个股盘口，第三节量比 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 19 minutes 310 views,4 months,310
62, 眯眯眼看世界 ,xOIYwNsBz-E,https://www.youtube.com/watch?v=xOIYwNsBz-E,中级课程第三章思维模式，第十三节个股的操作计划性 | 徐小明股票系统课,中级课程第三章思维模式，第十三节个股的操作计划性 | 徐小明股票系统课 by 眯眯眼看世界 2 months ago 28 minutes 304 views,2 months,304
63, 眯眯眼看世界 ,ejfQ6TuoTQk,https://www.youtube.com/watch?v=ejfQ6TuoTQk,基础课程第二章个股盘口，第四节外盘与内盘 | 徐小明股票系统课,基础课程第二章个股盘口，第四节外盘与内盘 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 31 minutes 303 views,4 months,303
64, Gary‘s trading talk ,GrV86rJwQG4,https://www.youtube.com/watch?v=GrV86rJwQG4,0228美股一周大盘个股回顾及展望-the bottom is in?,"0228美股一周大盘个股回顾及展望-the bottom is in? by Gary‘s trading talk 4 months ago 12 minutes, 14 seconds 296 views",4 months,296
65, 眯眯眼看世界 ,aGPA0z9oy90,https://www.youtube.com/watch?v=aGPA0z9oy90,基础课程第二章个股盘口，第五节现价线与均价线 | 徐小明股票系统课,基础课程第二章个股盘口，第五节现价线与均价线 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 21 minutes 283 views,4 months,283
66, 眯眯眼看世界 ,MWYtan9-ZXE,https://www.youtube.com/watch?v=MWYtan9-ZXE,基础课程第二章个股盘口，第十一节个股盘口案例 | 徐小明股票系统课,基础课程第二章个股盘口，第十一节个股盘口案例 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 18 minutes 281 views,4 months,281
67, 眯眯眼看世界 ,yMojPwYxm2o,https://www.youtube.com/watch?v=yMojPwYxm2o,基础课程第二章个股盘口，第十节拉升末期盘口走势 | 徐小明股票系统课,基础课程第二章个股盘口，第十节拉升末期盘口走势 | 徐小明股票系统课 by 眯眯眼看世界 4 months ago 36 minutes 280 views,4 months,280
68, Gary‘s trading talk ,cZwL_6NgEI4,https://www.youtube.com/watch?v=cZwL_6NgEI4,0122大盘及个股分析/BYND/TSLA/AMD/SOXL/AMD,"0122大盘及个股分析/BYND/TSLA/AMD/SOXL/AMD by Gary‘s trading talk 5 months ago 12 minutes, 49 seconds 266 views",5 months,266
69, 美股追踪-Ray ,FQ-UgG9tLx0,https://www.youtube.com/watch?v=FQ-UgG9tLx0,第12期， 美股个股季报操作的一些技术点位,"第12期， 美股个股季报操作的一些技术点位 by 美股追踪-Ray 2 months ago 9 minutes, 54 seconds 255 views",2 months,255
70, AI Financial Power Group ,9R9iDCA1z4o,https://www.youtube.com/watch?v=9R9iDCA1z4o,"美股个股分析(May 3, 2020)——时间、量、低买高卖，庄家出货您都看懂了吗？","美股个股分析(May 3, 2020)——时间、量、低买高卖，庄家出货您都看懂了吗？ by AI Financial Power Group 2 months ago 10 minutes, 34 seconds 254 views",2 months,254
71, Gary‘s trading talk ,WCbBA0HQ9VY,https://www.youtube.com/watch?v=WCbBA0HQ9VY,0127大盘及个股回顾,"0127大盘及个股回顾 by Gary‘s trading talk 5 months ago 9 minutes, 4 seconds 251 views",5 months,251
72, Gary‘s trading talk ,esJWWoYyu84,https://www.youtube.com/watch?v=esJWWoYyu84,0121-大盘及个股分析/BYND/TSLA/AMD/白银,"0121-大盘及个股分析/BYND/TSLA/AMD/白银 by Gary‘s trading talk 5 months ago 11 minutes, 54 seconds 250 views",5 months,250
73, Gary‘s trading talk ,l8MO2V5KvRA,https://www.youtube.com/watch?v=l8MO2V5KvRA,0129大盘及个股分析TSLA/BYND/AMD,"0129大盘及个股分析TSLA/BYND/AMD by Gary‘s trading talk 5 months ago 9 minutes, 3 seconds 239 views",5 months,239
74, Gary‘s trading talk ,Yt_cYoypRJY,https://www.youtube.com/watch?v=Yt_cYoypRJY,0224大盘及个股分析-the first cut is the deepest,"0224大盘及个股分析-the first cut is the deepest by Gary‘s trading talk 4 months ago 9 minutes, 5 seconds 229 views",4 months,229
75, 李老师财经 ,ZCYc63dDr48,https://www.youtube.com/watch?v=ZCYc63dDr48,六月第一周个股精选，SYF，XOM，ZM，WORK，GPS，MDB，TIF,"六月第一周个股精选，SYF，XOM，ZM，WORK，GPS，MDB，TIF by 李老师财经 1 month ago 6 minutes, 39 seconds 228 views",1 month,228
76, Gary‘s trading talk ,uB5sGQydtkU,https://www.youtube.com/watch?v=uB5sGQydtkU,0130大盘及个股分析,"0130大盘及个股分析 by Gary‘s trading talk 5 months ago 5 minutes, 41 seconds 220 views",5 months,220
77, Gary‘s trading talk ,gzcYW5UKzFg,https://www.youtube.com/watch?v=gzcYW5UKzFg,0302大盘及个股分析-大涨大跌意味着什么,"0302大盘及个股分析-大涨大跌意味着什么 by Gary‘s trading talk 4 months ago 6 minutes, 16 seconds 217 views",4 months,217
78, Gary‘s trading talk ,TmsOr0fhgQk,https://www.youtube.com/watch?v=TmsOr0fhgQk,0219大盘及个股分析,"0219大盘及个股分析 by Gary‘s trading talk 4 months ago 7 minutes, 7 seconds 213 views",4 months,213
79, HomilyChart CA ,bXctBwmD3aM,https://www.youtube.com/watch?v=bXctBwmD3aM,找到强势个股的秘技：强弱王,找到强势个股的秘技：强弱王 by HomilyChart CA 3 months ago 23 minutes 206 views,3 months,206
80, Gary‘s trading talk ,71TSF16ZSIs,https://www.youtube.com/watch?v=71TSF16ZSIs,0218大盘及个股分析-大盘强势整理,"0218大盘及个股分析-大盘强势整理 by Gary‘s trading talk 4 months ago 9 minutes, 42 seconds 206 views",4 months,206
